Date,Price,%change,Label
1997/01/04,12.14,-0.91,Little High Point
1997/01/06,12.13,-0.41,Little High Point
1997/01/07,12.12,0.66,Little Low Point
1997/01/08,12.17,0.33,Little Low Point
1997/01/09,12.2,-0.08,Little High Point
1997/01/10,12.08,0.66,Little Low Point
1997/01/11,11.98,2.25,Low Point
1997/01/13,11.97,2.17,Low Point
1997/01/14,12.11,0.5,Little Low Point
1997/01/15,12.1,0.66,Little Low Point
1997/01/16,12.03,1.0,Little Low Point
1997/01/17,12.08,1.57,Little Low Point
1997/01/18,12.2,0.57,Little Low Point
1997/01/20,12.21,1.39,Little Low Point
1997/01/21,12.19,1.97,Low Point
1997/01/22,12.16,2.3,Low Point
1997/01/23,12.25,0.08,Little High Point
1997/01/24,12.23,-0.08,Little High Point
1997/01/25,12.17,0.82,Little Low Point
1997/01/27,12.18,1.56,Little Low Point
1997/01/28,12.15,1.89,Low Point
1997/01/29,12.27,0.9,Little Low Point
1997/01/30,12.27,1.87,Low Point
1997/01/31,12.38,0.48,Little Low Point
1997/02/01,12.43,0.4,Little Low Point
1997/02/03,12.44,0.72,Little Low Point
1997/02/11,12.26,2.45,Low Point
1997/02/12,12.22,2.7,Low Point
1997/02/13,12.27,-7.25,High Point
1997/02/14,12.37,-7.52,Extremely High Point
1997/02/15,12.38,-8.08,Extremely High Point
1997/02/17,12.38,-8.8,Extremely High Point
1997/02/18,12.5,-9.92,Extremely High Point
1997/02/19,12.44,-9.49,Extremely High Point
1997/02/20,12.48,-10.42,Extremely High Point
1997/02/21,12.53,-11.09,Extremely High Point
1997/02/22,12.56,-11.23,Extremely High Point
1997/02/24,12.55,-11.71,Extremely High Point
1997/02/25,11.38,-2.37,Little High Point
1997/02/26,11.44,-2.8,Little High Point
1997/02/27,11.38,-1.67,Little High Point
1997/02/28,11.29,-0.53,Little High Point
1997/03/01,11.26,-0.62,Little High Point
1997/03/03,11.26,-0.89,Little High Point
1997/03/04,11.18,-0.54,Little High Point
1997/03/05,11.14,-0.09,Little High Point
1997/03/06,11.15,-1.17,High Point
1997/03/07,11.08,-0.99,Little High Point
1997/03/08,11.11,-2.07,High Point
1997/03/10,11.12,-1.89,High Point
1997/03/11,11.19,-2.77,High Point
1997/03/12,11.23,-2.85,High Point
1997/03/13,11.19,-2.86,High Point
1997/03/14,11.16,-1.88,High Point
1997/03/15,11.12,-1.89,High Point
1997/03/17,11.13,-2.25,High Point
1997/03/18,11.02,-1.45,High Point
1997/03/19,10.97,-0.91,Little High Point
1997/03/20,10.88,-1.1,High Point
1997/03/21,10.91,-1.47,High Point
1997/03/22,10.88,-0.83,Little High Point
1997/03/24,10.91,-1.47,High Point
1997/03/25,10.87,-1.2,High Point
1997/03/26,10.95,-2.1,High Point
1997/03/27,10.91,-2.2,High Point
1997/03/28,10.88,-2.3,High Point
1997/03/31,10.86,-1.93,High Point
1997/04/01,10.87,-2.76,Extremely High Point
1997/04/02,10.76,-1.86,High Point
1997/04/03,10.75,-1.3,High Point
1997/04/07,10.79,-1.67,High Point
1997/04/08,10.75,-1.12,High Point
1997/04/09,10.74,-0.93,High Point
1997/04/10,10.72,0.19,Little High Point
1997/04/11,10.67,0.28,Little High Point
1997/04/12,10.63,1.03,Little Low Point
1997/04/14,10.65,0.56,Little High Point
1997/04/15,10.57,1.32,Little Low Point
1997/04/16,10.56,1.42,Little Low Point
1997/04/17,10.61,0.47,Little High Point
1997/04/18,10.61,0.0,Little High Point
1997/04/19,10.63,0.47,Little High Point
1997/04/21,10.64,1.13,Little Low Point
1997/04/22,10.74,0.37,Little High Point
1997/04/23,10.7,0.93,Little Low Point
1997/04/24,10.74,1.21,Little Low Point
1997/04/25,10.71,1.21,Little Low Point
1997/04/26,10.71,0.93,Little Low Point
1997/04/28,10.71,0.65,Little High Point
1997/04/29,10.66,1.5,Little Low Point
1997/04/30,10.61,3.02,Low Point
1997/05/02,10.68,2.15,Low Point
1997/05/03,10.76,0.84,Little Low Point
1997/05/05,10.78,0.74,Little Low Point
1997/05/06,10.8,1.11,Little Low Point
1997/05/07,10.87,0.55,Little Low Point
1997/05/08,10.84,1.11,Little Low Point
1997/05/09,10.81,3.42,Extremely Low Point
1997/05/10,10.78,3.9,Extremely Low Point
1997/05/12,10.82,4.07,Extremely Low Point
1997/05/13,10.93,3.39,Low Point
1997/05/14,10.91,3.57,Extremely Low Point
1997/05/15,10.85,4.42,Extremely Low Point
1997/05/16,10.86,4.42,Extremely Low Point
1997/05/17,10.92,3.75,Extremely Low Point
1997/05/19,10.93,3.57,Extremely Low Point
1997/05/20,10.96,3.28,Low Point
1997/05/21,11.18,1.25,Little Low Point
1997/05/22,11.2,1.25,Little Low Point
1997/05/23,11.26,2.75,Low Point
1997/05/24,11.3,0.88,Little Low Point
1997/05/26,11.3,0.53,Little Low Point
1997/05/27,11.33,0.53,Little Low Point
1997/05/28,11.34,0.71,Little Low Point
1997/05/29,11.33,0.53,Little Low Point
1997/05/30,11.32,0.97,Little Low Point
1997/05/31,11.32,0.44,Little Low Point
1997/06/02,11.32,0.44,Little Low Point
1997/06/03,11.34,0.26,Little High Point
1997/06/04,11.57,-1.47,Little High Point
1997/06/05,11.4,0.0,Little High Point
1997/06/06,11.36,0.88,Little Low Point
1997/06/07,11.39,0.26,Little High Point
1997/06/10,11.42,-0.35,Little High Point
1997/06/11,11.39,-0.18,Little High Point
1997/06/12,11.43,-0.44,Little High Point
1997/06/13,11.37,0.26,Little High Point
1997/06/14,11.37,0.79,Little Low Point
1997/06/16,11.37,1.67,Low Point
1997/06/17,11.4,1.67,Little Low Point
1997/06/18,11.4,1.67,Little Low Point
1997/06/19,11.46,1.83,Low Point
1997/06/20,11.42,2.19,Low Point
1997/06/21,11.38,5.01,Extremely Low Point
1997/06/23,11.37,6.33,Extremely Low Point
1997/06/24,11.38,6.33,Extremely Low Point
1997/06/25,11.4,4.91,Extremely Low Point
1997/06/26,11.46,3.14,Extremely Low Point
1997/06/27,11.56,3.29,Extremely Low Point
1997/06/28,11.59,4.75,Extremely Low Point
1997/06/30,11.59,3.36,Extremely Low Point
1997/07/02,11.67,2.66,Low Point
1997/07/03,11.67,1.46,Little Low Point
1997/07/04,11.95,0.08,Little High Point
1997/07/05,12.09,1.16,Little Low Point
1997/07/07,12.1,0.08,Little High Point
1997/07/08,11.96,-1.0,Little High Point
1997/07/09,11.82,0.08,Little High Point
1997/07/10,11.94,-1.09,Little High Point
1997/07/11,12.14,-3.13,High Point
1997/07/12,11.98,-5.18,Extremely High Point
1997/07/14,11.98,-5.01,Extremely High Point
1997/07/15,11.84,-2.79,High Point
1997/07/16,11.96,-3.51,Extremely High Point
1997/07/17,12.23,-1.47,Little High Point
1997/07/18,12.11,2.31,Low Point
1997/07/19,11.84,4.65,Extremely Low Point
1997/07/21,11.83,2.45,Low Point
1997/07/22,11.81,1.35,Little Low Point
1997/07/23,11.76,1.62,Little Low Point
1997/07/24,11.36,5.99,Extremely Low Point
1997/07/25,11.38,4.48,Extremely Low Point
1997/07/26,11.51,1.56,Little Low Point
1997/07/28,11.54,1.13,Little Low Point
1997/07/29,12.05,-1.83,High Point
1997/07/30,12.39,-4.28,Extremely High Point
1997/07/31,12.39,-4.92,Extremely High Point
1997/08/01,12.12,-2.81,High Point
1997/08/02,11.97,-2.17,High Point
1997/08/04,11.95,-2.68,High Point
1997/08/05,12.04,-4.07,Extremely High Point
1997/08/06,11.89,-5.3,Extremely High Point
1997/08/07,11.69,-6.84,Extremely High Point
1997/08/08,11.67,-7.28,Extremely High Point
1997/08/09,11.83,-8.88,Extremely High Point
1997/08/11,11.86,-11.8,Extremely High Point
1997/08/12,11.78,-11.21,Extremely High Point
1997/08/13,11.78,-12.65,Extremely High Point
1997/08/14,11.71,-11.44,Extremely High Point
1997/08/15,11.63,-11.09,Extremely High Point
1997/08/16,11.55,-12.99,Extremely High Point
1997/08/19,11.26,-10.75,Extremely High Point
1997/08/20,10.89,-8.08,Extremely High Point
1997/08/21,10.82,-6.84,Extremely High Point
1997/08/22,10.78,-6.86,Extremely High Point
1997/08/23,10.46,-5.07,Extremely High Point
1997/08/25,10.46,-3.44,High Point
1997/08/26,10.29,-1.85,High Point
1997/08/27,10.37,-0.68,Little High Point
1997/08/28,10.34,-0.48,Little High Point
1997/08/30,10.05,1.0,Little Low Point
1997/09/01,10.05,1.0,Little Low Point
1997/09/02,10.01,0.8,Little Low Point
1997/09/03,10.08,0.1,Little High Point
1997/09/04,10.04,0.0,Little High Point
1997/09/05,9.93,1.01,Little Low Point
1997/09/06,10.1,-0.59,Little High Point
1997/09/08,10.1,-0.3,Little High Point
1997/09/09,10.3,-2.14,High Point
1997/09/10,10.29,-1.46,Little High Point
1997/09/11,10.15,0.2,Little High Point
1997/09/12,10.15,0.3,Little Low Point
1997/09/13,10.09,1.78,Little Low Point
1997/09/15,10.09,1.68,Little Low Point
1997/09/17,10.04,2.69,Low Point
1997/09/18,10.03,2.39,Low Point
1997/09/19,10.04,2.39,Low Point
1997/09/20,10.07,2.88,Low Point
1997/09/22,10.08,3.97,Extremely Low Point
1997/09/23,10.14,3.45,Extremely Low Point
1997/09/24,10.17,3.05,Low Point
1997/09/25,10.18,3.34,Extremely Low Point
1997/09/26,10.27,2.82,Low Point
1997/09/27,10.26,2.44,Low Point
1997/09/30,10.31,2.42,Low Point
1997/10/01,10.27,2.14,Little Low Point
1997/10/02,10.28,1.75,Little Low Point
1997/10/03,10.36,3.19,Low Point
1997/10/04,10.48,2.1,Little Low Point
1997/10/06,10.49,4.1,Low Point
1997/10/07,10.48,3.91,Low Point
1997/10/08,10.52,2.47,Low Point
1997/10/09,10.56,1.89,Little Low Point
1997/10/13,10.51,0.67,Little High Point
1997/10/14,10.56,-0.66,Little High Point
1997/10/15,10.49,-4.29,Extremely High Point
1997/10/16,10.46,-2.39,High Point
1997/10/17,10.69,-2.62,High Point
1997/10/18,10.7,-1.96,High Point
1997/10/20,10.92,-3.57,Extremely High Point
1997/10/21,10.89,-3.58,Extremely High Point
1997/10/22,10.78,-1.39,High Point
1997/10/23,10.76,-1.12,High Point
1997/10/24,10.58,-1.04,High Point
1997/10/27,10.49,-0.38,Little High Point
1997/10/28,10.04,3.49,Low Point
1997/10/29,10.21,0.2,Little High Point
1997/10/30,10.41,-0.58,Little High Point
1997/11/03,10.49,-0.48,Little High Point
1997/11/04,10.53,-0.47,Little High Point
1997/11/05,10.5,2.86,Low Point
1997/11/06,10.63,4.33,Low Point
1997/11/07,10.64,3.38,Low Point
1997/11/08,10.47,5.44,Extremely Low Point
1997/11/10,10.45,4.78,Extremely Low Point
1997/11/11,10.39,6.06,Extremely Low Point
1997/11/13,10.23,6.35,Extremely Low Point
1997/11/14,10.35,3.86,Low Point
1997/11/15,10.44,2.39,Low Point
1997/11/17,10.48,3.05,Low Point
1997/11/18,10.8,-0.56,Little High Point
1997/11/19,11.09,-2.98,Extremely High Point
1997/11/20,11.0,-1.0,High Point
1997/11/21,11.04,-1.36,High Point
1997/11/22,10.95,-2.1,High Point
1997/11/24,11.02,-2.99,Extremely High Point
1997/11/25,10.88,-0.83,Little High Point
1997/11/26,10.75,0.74,Little High Point
1997/11/27,10.69,1.87,Little Low Point
1997/11/28,10.8,0.46,Little High Point
1997/11/29,10.74,0.74,Little High Point
1997/12/01,10.76,0.74,Little Low Point
1997/12/02,10.89,-0.83,Little High Point
1997/12/03,10.89,-0.18,Little High Point
1997/12/04,10.72,0.93,Little Low Point
1997/12/05,10.69,1.31,Little Low Point
