,Day,Month,Year,Price,up% in 1y,up% in 2y,up% in 3y
0,23,6,1997,11.37,0.45,0.3533,0.5683
1,24,7,1997,11.36,0.3885,0.3534,0.5687
2,13,11,1997,10.23,0.8273,0.9126,0.9417
3,24,12,1997,10.47,0.7883,0.8775,0.9183
4,9,10,1998,8.58,1.0,1.0,0.9862
5,16,11,1998,10.33,0.989,0.9945,0.795
6,27,9,1999,11.45,1.0,0.7273,0.4936
7,19,10,1999,11.47,1.0,0.6966,0.4716
8,7,1,2000,14.94,0.3431,0.1811,0.1221
9,1,2,2000,15.55,0.1593,0.0829,0.056
10,24,5,2000,13.4,0.5227,0.2711,0.1816
11,4,4,2001,9.14,0.5592,0.2762,0.1834
12,24,9,2001,7.76,0.728,0.3633,0.5172
13,31,10,2001,8.58,0.4462,0.2231,0.1489
14,22,2,2002,8.54,0.164,0.082,0.0544
15,24,7,2002,6.33,0.988,0.994,0.996
16,6,8,2002,6.67,0.8247,0.9129,0.9415
17,8,10,2002,6.41,0.9761,0.9881,0.992
18,12,3,2003,6.19,1.0,1.0,1.0
19,24,3,2008,8.96,0.2381,0.1188,0.0792
20,27,10,2008,6.67,0.6917,0.8458,0.8968
21,20,11,2008,6.22,0.9051,0.9525,0.9682
22,9,3,2009,5.51,1.0,1.0,1.0
23,30,3,2009,6.05,1.0,1.0,1.0
24,21,4,2009,6.42,1.0,1.0,1.0
25,15,5,2009,6.71,1.0,1.0,1.0
26,10,7,2009,6.78,1.0,1.0,1.0
27,1,7,2010,7.37,1.0,0.996,0.9973
28,25,11,2011,7.54,1.0,1.0,1.0
29,24,7,2012,7.98,1.0,1.0,1.0
30,27,6,2016,12.48,1.0,1.0,1.0
31,8,2,2018,15.29,0.9913,0.9957,
32,24,12,2018,15.01,1.0,,
33,23,3,2020,15.09,,,
34,1,4,2020,16.53,,,
