,no,bloomberg_code,t_name,net_ass_val_rate,Date
0,1,US0378331005,APPLE,3.57,201506
1,2,US4370761029,HOME,2.22,201506
2,3,US57636Q1040,MASTERCARD,2.15,201506
3,4,US5949181045,MICROSOFT,2.11,201506
4,5,DK0060252690,PANDORA,2.09,201506
5,6,CH0012005267,NOVARTIS,2.06,201506
6,7,DK0060534915,NOVO,1.98,201506
7,8,US58933Y1055,MERCK,1.92,201506
8,9,CH0244767585,UBS,1.87,201506
9,10,US5324571083,ELI,1.85,201506
0,1,US0378331005,APPLE,3.11,201507
1,2,US0231351067,AMAZON.COM,2.51,201507
2,3,US4370761029,HOME,2.25,201507
3,4,CH0244767585,UBS,2.23,201507
4,5,DK0060252690,PANDORA,2.09,201507
5,6,CH0012005267,NOVARTIS,2.07,201507
6,7,DK0060534915,NOVO,2.03,201507
7,8,US92826C8394,VISA,1.91,201507
8,9,US58933Y1055,MERCK,1.91,201507
9,10,US3755581036,GILEAD,1.83,201507
0,1,US0231351067,AMAZON.COM,2.65,201508
1,2,US4370761029,HOME,2.55,201508
2,3,US0378331005,APPLE,2.44,201508
3,4,DK0060252690,PANDORA,2.34,201508
4,5,US38259P7069,GOOGLE,2.33,201508
5,6,US00507V1098,ACTIVISION,2.09,201508
6,7,US30212P3038,EXPEDIA,2.05,201508
7,8,CH0012005267,NOVARTIS,1.96,201508
8,9,US74460D1090,PUBLIC,1.89,201508
9,10,US3755581036,GILEAD,1.88,201508
0,1,US0378331005,APPLE,2.80,201509
1,2,US4370761029,HOME,2.51,201509
2,3,US0231351067,AMAZON.COM,2.42,201509
3,4,DK0060252690,PANDORA,2.35,201509
4,5,US74460D1090,PUBLIC,2.30,201509
5,6,US92343E1029,VERISIGN,2.09,201509
6,7,US00507V1098,ACTIVISION,2.04,201509
7,8,US38259P7069,GOOGLE,1.99,201509
8,9,IL0010824113,*CHECK,1.87,201509
9,10,US92826C8394,VISA,1.86,201509
0,1,US0231351067,AMAZON.COM,2.92,201510
1,2,US5949181045,MICROSOFT,2.83,201510
2,3,US4370761029,HOME,2.57,201510
3,4,US74460D1090,PUBLIC,2.43,201510
4,5,US92343E1029,VERISIGN,2.33,201510
5,6,DK0060252690,PANDORA,2.24,201510
6,7,US02079K1079,GOOGLE,2.08,201510
7,8,US00507V1098,ACTIVISION,2.06,201510
8,9,US92826C8394,VISA,2.05,201510
9,10,US3755581036,GILEAD,1.91,201510
0,1,US5949181045,MICROSOFT,3.04,201511
1,2,US0231351067,AMAZON.COM,2.81,201511
2,3,US4370761029,HOME,2.42,201511
3,4,US92826C8394,VISA,2.28,201511
4,5,US92343E1029,VERISIGN,2.27,201511
5,6,US02079K1079,ALPHABEI,2.16,201511
6,7,DK0060252690,PANDORA,2.09,201511
7,8,US00507V1098,ACTIVISION,2.01,201511
8,9,US57636Q1040,MASTERCARD,2.00,201511
9,10,US74460D1090,PUBLIC,1.99,201511
0,1,US5949181045,MICROSOFT,3.31,201512
1,2,US0231351067,AMAZON.COM,3.28,201512
2,3,US4370761029,HOME,2.40,201512
3,4,DK0060252690,PANDORA,2.26,201512
4,5,US92826C8394,VISA,2.25,201512
5,6,US92343E1029,VERISIGN,2.23,201512
6,7,US02079K1079,ALPHABEI,2.22,201512
7,8,US6153691059,MOODY'S,2.09,201512
8,9,US9497461015,WELLS,2.08,201512
9,10,US57636Q1040,MASTERCARD,2.00,201512
0,1,US5949181045,MICROSOFT,3.22,201601
1,2,US0231351067,AMAZON.COM,2.58,201601
2,3,US4370761029,HOME,2.34,201601
3,4,DK0060252690,PANDORA,2.13,201601
4,5,US4781601046,JOHNSON,1.98,201601
5,6,US02079K1079,ALPHABEI,1.96,201601
6,7,US92826C8394,VISA,1.95,201601
7,8,US7181721090,PHILIP,1.86,201601
8,9,US0311621009,AMGEN,1.80,201601
9,10,US7782961038,ROSS,1.80,201601
0,1,US5949181045,MICROSOFT,2.96,201602
1,2,US4370761029,HOME,2.52,201602
2,3,US92826C8394,VISA,2.04,201602
3,4,US7181721090,PHILIP,2.02,201602
4,5,US9497461015,WELLS,2.02,201602
5,6,US4262811015,JACK,2.00,201602
6,7,US02079K1079,ALPHABEI,2.00,201602
7,8,US57636Q1040,MASTERCARD,1.95,201602
8,9,US4612021034,INTUIT,1.90,201602
9,10,US4781601046,JOHNSON,1.79,201602
0,1,US5949181045,MICROSOFT,2.82,201603
1,2,US4370761029,HOME,2.77,201603
2,3,US02079K1079,ALPHABEI,2.70,201603
3,4,IE00B4BNMY34,ACCENTURE,2.59,201603
4,5,US8725401090,TJX,2.18,201603
5,6,US4781601046,JOHNSON,2.15,201603
6,7,US7782961038,ROSS,2.14,201603
7,8,DK0060534915,NOVO,1.98,201603
8,9,US7181721090,PHILIP,1.98,201603
9,10,US1101221083,BRISTOL-MYERS,1.93,201603
0,1,US4370761029,HOME,2.28,201604
1,2,US1101221083,BRISTOL-MYERS,2.20,201604
2,3,US5949181045,MICROSOFT,2.03,201604
3,4,US7181721090,PHILIP,1.99,201604
4,5,US92826C8394,VISA,1.95,201604
5,6,US20030N1019,COMCAST,1.83,201604
6,7,US55354G1004,MSCI,1.80,201604
7,8,US02079K1079,ALPHABEI,1.79,201604
8,9,US37940X1028,GLOBAL,1.78,201604
9,10,US7415034039,PRICELINE,1.75,201604
0,1,US0231351067,AMAZON.COM,2.00,201605
1,2,US4370761029,HOME,1.90,201605
2,3,US1101221083,BRISTOL-MYERS,1.85,201605
3,4,US9497461015,WELLS,1.83,201605
4,5,US5949181045,MICROSOFT,1.82,201605
5,6,KYG875721634,*TENCENT,1.73,201605
6,7,US7181721090,PHILIP,1.70,201605
7,8,US92826C8394,VISA,1.69,201605
8,9,DK0060252690,PANDORA,1.64,201605
9,10,US8636671013,STRYKER,1.63,201605
0,1,US4370761029,HOME,2.28,201606
1,2,US5949181045,MICROSOFT,2.26,201606
2,3,US0231351067,AMAZON.COM,2.21,201606
3,4,US1101221083,BRISTOL-MYERS,2.04,201606
4,5,IE00B4BNMY34,ACCENTURE,1.97,201606
5,6,US7181721090,PHILIP,1.92,201606
6,7,US02209S1033,ALTRIA,1.88,201606
7,8,US02079K1079,ALPHABEI,1.77,201606
8,9,US91324P1021,UNITEDHEALTH,1.72,201606
9,10,US9497461015,WELLS,1.72,201606
0,1,US5949181045,MICROSOFT,2.34,201607
1,2,US0231351067,AMAZON.COM,2.19,201607
2,3,US1101221083,BRISTOL-MYERS,1.94,201607
3,4,US4370761029,HOME,1.91,201607
4,5,2330,台積電,1.84,201607
5,6,US02079K1079,ALPHABEI,1.84,201607
6,7,US55354G1004,MSCI,1.72,201607
7,8,KYG875721634,*TENCENT,1.66,201607
8,9,CH0010532478,ACTELION,1.65,201607
9,10,IE00BTN1Y115,MEDTRONIC,1.64,201607
0,1,US02079K1079,ALPHABEI,2.79,201608
1,2,US5949181045,MICROSOFT,2.79,201608
2,3,US0231351067,AMAZON.COM,2.54,201608
3,4,2330,台積電,2.17,201608
4,5,KYG875721634,*TENCENT,2.12,201608
5,6,US55354G1004,MSCI,2.04,201608
6,7,US01609W1027,ALIBABA,1.91,201608
7,8,US4370761029,HOME,1.85,201608
8,9,US92826C8394,VISA,1.84,201608
9,10,BMG0585R1060,ASSURED,1.81,201608
0,1,US02079K1079,ALPHABEI,2.75,201609
1,2,US5949181045,MICROSOFT,2.72,201609
2,3,US0231351067,AMAZON.COM,2.69,201609
3,4,KYG875721634,*TENCENT,2.37,201609
4,5,US01609W1027,ALIBABA,2.31,201609
5,6,2330,台積電,2.21,201609
6,7,US30303M1027,FACEBOOK,2.05,201609
7,8,US55354G1004,MSCI,1.85,201609
8,9,US92826C8394,VISA,1.83,201609
9,10,BMG0585R1060,ASSURED,1.76,201609
0,1,US02079K1079,ALPHABEI,3.02,201610
1,2,US0231351067,AMAZON.COM,2.85,201610
2,3,US5949181045,MICROSOFT,2.80,201610
3,4,KYG875721634,*TENCENT,2.76,201610
4,5,US01609W1027,ALIBABA,2.52,201610
5,6,US46429B3096,ISHARES-INDONESIA,2.47,201610
6,7,2330,台積電,2.26,201610
7,8,US92826C8394,VISA,2.12,201610
8,9,US30303M1027,FACEBOOK,1.98,201610
9,10,US57636Q1040,MASTERCARD,1.94,201610
0,1,US5949181045,MICROSOFT,2.52,201611
1,2,US02079K1079,ALPHABEI,2.41,201611
2,3,2330,台積電,1.99,201611
3,4,US0605051046,BANK,1.98,201611
4,5,US0231351067,AMAZON.COM,1.97,201611
5,6,GB00B5BT0K07,AON,1.83,201611
6,7,US57636Q1040,MASTERCARD,1.81,201611
7,8,US30303M1027,FACEBOOK,1.80,201611
8,9,IE00B4BNMY34,ACCENTURE,1.75,201611
9,10,KYG875721634,*TENCENT,1.75,201611
0,1,US5949181045,MICROSOFT,2.93,201612
1,2,US02079K1079,ALPHABEI,2.90,201612
2,3,US0605051046,BANK,2.07,201612
3,4,IE00B4BNMY34,ACCENTURE,1.99,201612
4,5,KYG875721634,*TENCENT,1.98,201612
5,6,US6934751057,PNC,1.95,201612
6,7,US4370761029,HOME,1.85,201612
7,8,US57636Q1040,MASTERCARD,1.83,201612
8,9,US0231351067,AMAZON.COM,1.82,201612
9,10,US7475251036,QUALCOMM,1.81,201612
0,1,US02079K1079,ALPHABEI,2.90,201701
1,2,US0605051046,BANK,2.24,201701
2,3,US5949181045,MICROSOFT,2.22,201701
3,4,US0231351067,AMAZON.COM,2.07,201701
4,5,US30303M1027,FACEBOOK,1.98,201701
5,6,US6934751057,PNC,1.84,201701
6,7,2330,台積電,1.83,201701
7,8,KYG875721634,*TENCENT,1.83,201701
8,9,GB0002875804,BRITISH,1.80,201701
9,10,US57636Q1040,MASTERCARD,1.80,201701
0,1,US02079K1079,ALPHABEI,2.76,201702
1,2,US0605051046,BANK,2.22,201702
2,3,US5949181045,MICROSOFT,2.09,201702
3,4,US0231351067,AMAZON.COM,2.00,201702
4,5,US6934751057,PNC,1.97,201702
5,6,US30303M1027,FACEBOOK,1.94,201702
6,7,US46625H1005,JPMORGAN,1.90,201702
7,8,2330,台積電,1.83,201702
8,9,US14040H1059,CAPITAL,1.79,201702
9,10,US4370761029,HOME,1.77,201702
0,1,US02079K1079,ALPHABEI,2.61,201703
1,2,US30303M1027,FACEBOOK,2.11,201703
2,3,US0605051046,BANK,2.04,201703
3,4,US5949181045,MICROSOFT,2.01,201703
4,5,US0231351067,AMAZON.COM,1.97,201703
5,6,US46625H1005,JPMORGAN,1.93,201703
6,7,US92826C8394,VISA,1.84,201703
7,8,US6934751057,PNC,1.75,201703
8,9,GB0002875804,BRITISH,1.74,201703
9,10,2330,台積電,1.74,201703
0,1,US02079K1079,ALPHABEI,2.48,201704
1,2,US30303M1027,FACEBOOK,2.39,201704
2,3,US5949181045,MICROSOFT,2.28,201704
3,4,US92826C8394,VISA,2.00,201704
4,5,US0231351067,AMAZON.COM,1.96,201704
5,6,US0162551016,ALIGN,1.95,201704
6,7,US0605051046,BANK,1.92,201704
7,8,US46625H1005,JPMORGAN,1.82,201704
8,9,US7134481081,PEPSICO,1.82,201704
9,10,US4370761029,HOME,1.79,201704
0,1,US4642882579,IShares,5.29,201705
1,2,US02079K1079,ALPHABEI,2.79,201705
2,3,US30303M1027,FACEBOOK,2.38,201705
3,4,US5949181045,MICROSOFT,2.02,201705
4,5,US01609W1027,ALIBABA,1.91,201705
5,6,US4370761029,HOME,1.86,201705
6,7,US0231351067,AMAZON.COM,1.83,201705
7,8,US0162551016,ALIGN,1.82,201705
8,9,US92826C8394,VISA,1.81,201705
9,10,KYG875721634,*TENCENT,1.62,201705
0,1,US4642882579,IShares,5.25,201706
1,2,US01609W1027,ALIBABA,2.56,201706
2,3,US02079K1079,ALPHABEI,2.47,201706
3,4,US92826C8394,VISA,1.93,201706
4,5,US5949181045,MICROSOFT,1.87,201706
5,6,US0605051046,BANK,1.83,201706
6,7,US0231351067,AMAZON.COM,1.78,201706
7,8,US0162551016,ALIGN,1.77,201706
8,9,US4370761029,HOME,1.75,201706
9,10,KR7005930003,SAMSUNG,1.72,201706
0,1,US01609W1027,ALIBABA,2.70,201707
1,2,US02079K1079,ALPHABEI,2.62,201707
2,3,US5949181045,MICROSOFT,2.37,201707
3,4,US92826C8394,VISA,2.13,201707
4,5,US0162551016,ALIGN,2.05,201707
5,6,US30303M1027,FACEBOOK,1.97,201707
6,7,US0231351067,AMAZON.COM,1.89,201707
7,8,SG9999014823,BROADCOM,1.87,201707
8,9,KR7005930003,SAMSUNG,1.85,201707
9,10,US62944T1051,NVR,1.84,201707
0,1,US01609W1027,ALIBABA,3.13,201708
1,2,US0378331005,APPLE,2.95,201708
2,3,US5949181045,MICROSOFT,2.69,201708
3,4,US02079K1079,ALPHABEI,2.68,201708
4,5,US92826C8394,VISA,2.45,201708
5,6,KYG875721634,*TENCENT,2.26,201708
6,7,US46625H1005,JPMORGAN,2.14,201708
7,8,US91324P1021,UNITEDHEALTH,2.08,201708
8,9,US30303M1027,FACEBOOK,2.03,201708
9,10,SG9999014823,BROADCOM,1.94,201708
0,1,US01609W1027,ALIBABA,3.12,201709
1,2,US02079K1079,ALPHABEI,2.71,201709
2,3,US5949181045,MICROSOFT,2.66,201709
3,4,US92826C8394,VISA,2.47,201709
4,5,KYG875721634,*TENCENT,2.30,201709
5,6,US46625H1005,JPMORGAN,2.23,201709
6,7,US62944T1051,NVR,2.19,201709
7,8,US0382221051,APPLIED,2.10,201709
8,9,US91324P1021,UNITEDHEALTH,2.03,201709
9,10,NL0010273215,ASML,2.02,201709
0,1,US5949181045,MICROSOFT,2.99,201710
1,2,US02079K1079,ALPHABEI,2.69,201710
2,3,US92826C8394,VISA,2.59,201710
3,4,US0382221051,APPLIED,2.52,201710
4,5,KYG875721634,*TENCENT,2.41,201710
5,6,US01609W1027,ALIBABA,2.25,201710
6,7,US0605051046,BANK,2.20,201710
7,8,US91324P1021,UNITEDHEALTH,2.19,201710
8,9,NL0010273215,ASML,2.15,201710
9,10,US30303M1027,FACEBOOK,2.12,201710
0,1,US5949181045,MICROSOFT,2.98,201711
1,2,KYG875721634,*TENCENT,2.70,201711
2,3,US02079K1079,ALPHABEI,2.67,201711
3,4,US92826C8394,VISA,2.62,201711
4,5,US91324P1021,UNITEDHEALTH,2.34,201711
5,6,CNE1000003X6,PING,2.33,201711
6,7,US30303M1027,FACEBOOK,2.30,201711
7,8,US0605051046,BANK,2.24,201711
8,9,US70450Y1038,PAYPAL,2.22,201711
9,10,NL0010273215,ASML,2.16,201711
0,1,KYG875721634,*TENCENT,2.53,201712
1,2,US02079K1079,ALPHABEI,2.51,201712
2,3,US92826C8394,VISA,2.44,201712
3,4,US5949181045,MICROSOFT,2.43,201712
4,5,CNE1000003X6,PING,2.25,201712
5,6,US4370761029,HOME,2.22,201712
6,7,US01609W1027,ALIBABA,2.21,201712
7,8,US46625H1005,JPMORGAN,2.20,201712
8,9,US0605051046,BANK,2.15,201712
9,10,US30303M1027,FACEBOOK,2.11,201712
0,1,US0231351067,AMAZON.COM,2.99,201801
1,2,US5949181045,MICROSOFT,2.96,201801
2,3,US02079K1079,ALPHABEI,2.77,201801
3,4,KYG875721634,*TENCENT,2.62,201801
4,5,US92826C8394,VISA,2.24,201801
5,6,US01609W1027,ALIBABA,2.21,201801
6,7,CNE1000003X6,PING,2.16,201801
7,8,US64110L1061,NETFLIX,2.15,201801
8,9,US00724F1012,ADOBE,2.06,201801
9,10,US91324P1021,UNITEDHEALTH,1.97,201801
0,1,US0231351067,AMAZON.COM,3.09,201802
1,2,US5949181045,MICROSOFT,2.91,201802
2,3,US02079K1079,ALPHABEI,2.63,201802
3,4,KYG875721634,*TENCENT,2.50,201802
4,5,US92826C8394,VISA,2.21,201802
5,6,US00724F1012,ADOBE,2.13,201802
6,7,US81762P1021,SERVICENOW,2.00,201802
7,8,CNE1000003X6,PING,1.98,201802
8,9,US91324P1021,UNITEDHEALTH,1.92,201802
9,10,US46625H1005,JPMORGAN,1.86,201802
0,1,US0231351067,AMAZON.COM,3.73,201803
1,2,US5949181045,MICROSOFT,2.89,201803
2,3,KYG875721634,*TENCENT,2.60,201803
3,4,US92826C8394,VISA,2.59,201803
4,5,US02079K1079,ALPHABEI,2.49,201803
5,6,US00724F1012,ADOBE,2.47,201803
6,7,US46625H1005,JPMORGAN,2.37,201803
7,8,US81762P1021,SERVICENOW,2.23,201803
8,9,US0605051046,BANK,2.17,201803
9,10,KR7005930003,SAMSUNG,2.11,201803
0,1,US0231351067,AMAZON.COM,4.06,201804
1,2,US5949181045,MICROSOFT,3.24,201804
