Date,Year,Month,Day,Price,Return(1),Return(10)
1997/1/4,1997,1,4,12.14,,
1997/1/6,1997,1,6,12.13,-0.000823723,
1997/1/7,1997,1,7,12.12,-0.000824402,
1997/1/8,1997,1,8,12.17,0.004125413,
1997/1/9,1997,1,9,12.2,0.002465078,
1997/1/10,1997,1,10,12.08,-0.009836066,
1997/1/11,1997,1,11,11.98,-0.008278146,
1997/1/13,1997,1,13,11.97,-0.000834725,
1997/1/14,1997,1,14,12.11,0.011695906,
1997/1/15,1997,1,15,12.1,-0.000825764,
1997/1/16,1997,1,16,12.03,-0.005785124,-0.009060956
1997/1/17,1997,1,17,12.08,0.004156276,-0.004122012
1997/1/18,1997,1,18,12.2,0.009933775,0.00660066
1997/1/20,1997,1,20,12.21,0.000819672,0.003286771
1997/1/21,1997,1,21,12.19,-0.001638002,-0.000819672
1997/1/22,1997,1,22,12.16,-0.002461034,0.006622517
1997/1/23,1997,1,23,12.25,0.007401316,0.022537563
1997/1/24,1997,1,24,12.23,-0.001632653,0.021720969
1997/1/25,1997,1,25,12.17,-0.004905969,0.004954583
1997/1/27,1997,1,27,12.18,0.000821693,0.00661157
1997/1/28,1997,1,28,12.15,-0.002463054,0.009975062
1997/1/29,1997,1,29,12.27,0.009876543,0.015728477
1997/1/30,1997,1,30,12.27,0,0.005737705
1997/1/31,1997,1,31,12.38,0.008964955,0.013923014
1997/2/1,1997,2,1,12.43,0.004038772,0.019688269
1997/2/3,1997,2,3,12.44,0.000804505,0.023026316
1997/2/11,1997,2,11,12.26,-0.014469453,0.000816327
1997/2/12,1997,2,12,12.22,-0.003262643,-0.000817661
1997/2/13,1997,2,13,12.27,0.004091653,0.008216927
1997/2/14,1997,2,14,12.37,0.008149959,0.015599343
1997/2/15,1997,2,15,12.38,0.000808407,0.018930041
1997/2/17,1997,2,17,12.38,0,0.008964955
1997/2/18,1997,2,18,12.5,0.009693053,0.018744906
1997/2/19,1997,2,19,12.44,-0.0048,0.004846527
1997/2/20,1997,2,20,12.48,0.003215434,0.004022526
1997/2/21,1997,2,21,12.53,0.00400641,0.007234727
1997/2/22,1997,2,22,12.56,0.002394254,0.024469821
1997/2/24,1997,2,24,12.55,-0.000796178,0.02700491
1997/2/25,1997,2,25,11.38,-0.093227092,-0.072534637
1997/2/26,1997,2,26,11.44,0.005272408,-0.075181892
1997/2/27,1997,2,27,11.38,-0.005244755,-0.080775444
1997/2/28,1997,2,28,11.29,-0.007908612,-0.088045234
1997/3/1,1997,3,1,11.26,-0.002657219,-0.0992
1997/3/3,1997,3,3,11.26,0,-0.094855305
1997/3/4,1997,3,4,11.18,-0.007104796,-0.104166667
1997/3/5,1997,3,5,11.14,-0.003577818,-0.110933759
1997/3/6,1997,3,6,11.15,0.000897666,-0.112261146
1997/3/7,1997,3,7,11.08,-0.006278027,-0.117131474
1997/3/8,1997,3,8,11.11,0.002707581,-0.023725835
1997/3/10,1997,3,10,11.12,0.00090009,-0.027972028
1997/3/11,1997,3,11,11.19,0.006294964,-0.016695958
1997/3/12,1997,3,12,11.23,0.00357462,-0.005314438
1997/3/13,1997,3,13,11.19,-0.003561888,-0.006216696
1997/3/14,1997,3,14,11.16,-0.002680965,-0.008880995
1997/3/15,1997,3,15,11.12,-0.003584229,-0.005366726
1997/3/17,1997,3,17,11.13,0.000899281,-0.000897666
1997/3/18,1997,3,18,11.02,-0.009883199,-0.011659193
1997/3/19,1997,3,19,10.97,-0.004537205,-0.009927798
1997/3/20,1997,3,20,10.88,-0.008204193,-0.02070207
1997/3/21,1997,3,21,10.91,0.002757353,-0.018884892
1997/3/22,1997,3,22,10.88,-0.002749771,-0.027703307
1997/3/24,1997,3,24,10.91,0.002757353,-0.028495102
1997/3/25,1997,3,25,10.87,-0.003666361,-0.028596962
1997/3/26,1997,3,26,10.95,0.007359706,-0.018817204
1997/3/27,1997,3,27,10.91,-0.003652968,-0.018884892
1997/3/28,1997,3,28,10.88,-0.002749771,-0.022461815
1997/3/31,1997,3,31,10.86,-0.001838235,-0.014519056
1997/4/1,1997,4,1,10.87,0.00092081,-0.00911577
1997/4/2,1997,4,2,10.76,-0.010119595,-0.011029412
1997/4/3,1997,4,3,10.75,-0.000929368,-0.014665445
1997/4/7,1997,4,7,10.79,0.00372093,-0.008272059
1997/4/8,1997,4,8,10.75,-0.003707136,-0.014665445
1997/4/9,1997,4,9,10.74,-0.000930233,-0.011959522
1997/4/10,1997,4,10,10.72,-0.001862197,-0.021004566
1997/4/11,1997,4,11,10.67,-0.004664179,-0.021998167
1997/4/12,1997,4,12,10.63,-0.003748828,-0.022977941
1997/4/14,1997,4,14,10.65,0.001881468,-0.019337017
1997/4/15,1997,4,15,10.57,-0.007511737,-0.027598896
1997/4/16,1997,4,16,10.56,-0.000946074,-0.018587361
1997/4/17,1997,4,17,10.61,0.004734848,-0.013023256
1997/4/18,1997,4,18,10.61,0,-0.016682113
1997/4/19,1997,4,19,10.63,0.001885014,-0.011162791
1997/4/21,1997,4,21,10.64,0.000940734,-0.009310987
1997/4/22,1997,4,22,10.74,0.009398496,0.001865672
1997/4/23,1997,4,23,10.7,-0.003724395,0.002811621
1997/4/24,1997,4,24,10.74,0.003738318,0.010348071
1997/4/25,1997,4,25,10.71,-0.002793296,0.005633803
1997/4/26,1997,4,26,10.71,0,0.013245033
1997/4/28,1997,4,28,10.71,0,0.014204545
1997/4/29,1997,4,29,10.66,-0.004668534,0.004712535
1997/4/30,1997,4,30,10.61,-0.004690432,0
1997/5/2,1997,5,2,10.68,0.006597549,0.004703669
1997/5/3,1997,5,3,10.76,0.007490637,0.011278195
1997/5/5,1997,5,5,10.78,0.001858736,0.003724395
1997/5/6,1997,5,6,10.8,0.001855288,0.009345794
