,Date,Price
0,1997/02/28,11.29
1,1997/03/01,11.26
2,1997/03/03,11.26
3,1997/03/04,11.18
4,1997/03/05,11.14
5,1997/03/06,11.15
6,1997/03/07,11.08
7,1997/08/23,10.46
8,1997/08/25,10.46
9,1997/08/26,10.29
10,1997/08/27,10.37
11,1997/08/28,10.34
12,1997/08/30,10.05
13,1997/09/01,10.05
14,1998/09/01,9.6
15,1998/09/02,9.56
16,1998/09/03,9.68
17,1998/09/04,9.54
18,1998/10/06,8.81
19,1998/10/07,8.85
20,1998/10/08,8.73
21,1998/10/09,8.58
22,1998/10/12,8.8
23,1999/03/01,10.39
24,1999/03/03,10.32
25,1999/03/04,10.3
26,1999/03/05,10.31
27,2000/04/15,13.84
28,2001/03/01,10.11
29,2001/03/02,10.08
30,2001/03/05,10.03
31,2001/03/06,10.09
32,2001/03/07,10.23
33,2001/03/08,10.31
34,2001/03/09,10.24
35,2001/03/12,10.09
36,2001/03/13,9.71
37,2001/03/14,9.73
38,2001/03/23,9.16
39,2001/09/19,8.31
40,2001/09/20,8.23
41,2001/09/21,7.98
42,2001/09/24,7.76
43,2001/09/25,8.04
44,2001/09/26,8.13
45,2002/07/22,6.67
46,2002/07/23,6.46
47,2002/07/24,6.33
48,2008/10/06,7.86
49,2008/10/07,7.67
50,2008/10/08,7.43
51,2008/10/09,7.15
52,2008/10/13,7.38
53,2008/10/14,7.54
54,2008/10/15,7.12
55,2008/10/16,7.06
56,2008/10/17,7.18
57,2008/10/27,6.67
58,2008/11/12,6.75
59,2008/11/17,6.73
60,2008/11/18,6.77
61,2008/11/19,6.51
62,2008/11/20,6.22
63,2008/11/21,6.27
64,2009/02/23,6.05
65,2009/03/02,5.77
66,2009/03/05,5.6
67,2009/03/09,5.51
68,2011/08/08,7.34
69,2011/08/09,7.49
70,2011/08/10,7.31
71,2020/03/06,19.15
72,2020/03/09,18.05
73,2020/03/11,18.01
74,2020/03/12,16.5
75,2020/03/13,17.58
76,2020/03/16,15.84
77,2020/03/17,16.42
78,2020/03/18,15.69
79,2020/03/19,15.85
80,2020/03/20,15.44
81,2020/03/23,15.09
82,2020/03/24,16.26
