Date,Price,1d Price_C,5d Price_C,10d Price_C,T10Y2Y,T10Y2Y_C,S&P500 Close,1d S&P500 Close_C,5d S&P500 Close_C,10d S&P500 Close_C,University of Michigan Consumer,M2,Average Weekly Hours of Production,Building Permits,Manufacturers' New Orders Durable Goods,Real personal income excluding current transfer receipts,"All Employees, Total Nonfarm",Industrial Production Index,Inventories to Sales Ratios,Label
1997/1/16,12.03,-0.005785124,-0.004139073,-0.009060956,0.57,0.02,769.75,0.003323759,0.013495721,0.029559253,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/17,12.08,0.004156276,0.008347245,-0.004122012,0.56,-0.01,776.169983,0.008340348,0.021948628,0.038146135,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/18,12.2,0.009933775,0.019214703,0.00660066,0.56,0,776.169983,0,0.021935159,0.03045551,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/20,12.21,0.000819672,0.008257638,0.003286771,0.56,0,776.700012,0.000682877,0.01019695,0.03780019,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/21,12.19,-0.001638002,0.007438017,-0.000819672,0.53,-0.03,782.719971,0.007750687,0.020229352,0.036921237,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Low Point
1997/1/22,12.16,-0.002461034,0.010806318,0.006622517,0.56,0.03,786.22998,0.004484374,0.021409523,0.03519418,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Low Point
1997/1/23,12.25,0.007401316,0.014072848,0.022537563,0.54,-0.02,777.559998,-0.011027285,0.001790864,0.023778799,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little High Point
1997/1/24,12.23,-0.001632653,0.002459016,0.021720969,0.57,0.03,770.52002,-0.009053935,-0.007279286,0.014496201,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little High Point
1997/1/25,12.17,-0.004905969,-0.003276003,0.004954583,0.57,0,770.52002,0,-0.00795673,0.002159086,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/27,12.18,0.000821693,-0.000820345,0.00661157,0.58,0.01,765.02002,-0.007138036,-0.022613389,-0.002841491,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/28,12.15,-0.002463054,-0.000822368,0.009975062,0.6,0.02,765.02002,0,-0.026976789,-0.006144826,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Low Point
1997/1/29,12.27,0.009876543,0.001632653,0.015728477,0.59,-0.01,772.5,0.009777496,-0.006507534,-0.004728324,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/1/30,12.27,0,0.003270646,0.005737705,0.6,0.01,784.169983,0.015106774,0.017715261,0.010307021,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Low Point
1997/1/31,12.38,0.008964955,0.017255546,0.013923014,0.59,-0.01,786.159973,0.002537702,0.020297919,0.012179684,97.4,3490.66,41.3,1382,170783,7951,121363,85.9397,1.43,Little Low Point
1997/2/1,12.43,0.004038772,0.020525452,0.019688269,0.59,0,786.159973,0,0.027633202,0.004394933,99.7,3490.1,40.9,1445,162332,7986,121675,86.2047,1.41,Little Low Point
1997/2/3,12.44,0.000804505,0.023868313,0.023026316,0.58,-0.01,786.72998,0.000725052,0.02837829,0.000635946,99.7,3490.1,40.9,1445,162332,7986,121675,86.2047,1.41,Little Low Point
