,Date,Price
0,2008/06/30,8.770
1,2008/06/27,8.740
2,2008/06/26,8.770
3,2008/06/25,8.900
4,2008/06/24,8.850
5,2008/06/23,8.850
6,2008/06/20,8.860
7,2008/06/19,8.940
8,2008/06/18,8.970
9,2008/06/17,9.060
10,2008/06/16,9.070
11,2008/06/13,9.050
12,2008/06/12,9.050
13,2008/06/11,9.030
14,2008/06/10,9.110
15,2008/06/09,9.220
16,2008/06/06,9.230
17,2008/06/05,9.360
18,2008/06/04,9.340
19,2008/06/03,9.420
20,2008/06/02,9.400
21,2008/05/30,9.550
22,2008/05/29,9.560
23,2008/05/28,9.550
24,2008/05/27,9.550
25,2008/05/26,9.540
26,2008/05/23,9.550
27,2008/05/22,9.610
28,2008/05/21,9.630
29,2008/05/20,9.690
30,2008/05/19,9.730
31,2008/05/16,9.690
32,2008/05/15,9.720
33,2008/05/14,9.700
34,2008/05/13,9.640
35,2008/05/12,9.650
36,2008/05/09,9.540
37,2008/05/08,9.640
38,2008/05/07,9.580
39,2008/05/06,9.630
40,2008/05/05,9.620
41,2008/05/02,9.610
42,2008/04/30,9.460
43,2008/04/29,9.440
44,2008/04/28,9.530
45,2008/04/25,9.490
46,2008/04/24,9.440
47,2008/04/23,9.500
48,2008/04/22,9.450
49,2008/04/21,9.490
50,2008/04/18,9.500
51,2008/04/17,9.420
52,2008/04/16,9.410
53,2008/04/15,9.240
54,2008/04/14,9.220
55,2008/04/11,9.300
56,2008/04/10,9.420
57,2008/04/09,9.420
58,2008/04/08,9.510
59,2008/04/07,9.530
60,2008/04/03,9.440
61,2008/04/02,9.460
62,2008/04/01,9.350
63,2008/03/31,9.220
64,2008/03/28,9.210
65,2008/03/27,9.190
66,2008/03/26,9.090
67,2008/03/25,9.130
68,2008/03/24,8.960
69,2008/03/21,9.020
70,2008/03/20,9.070
71,2008/03/19,9.140
72,2008/03/18,9.270
73,2008/03/17,9.030
74,2008/03/14,9.170
75,2008/03/13,9.270
76,2008/03/12,9.310
77,2008/03/11,9.270
78,2008/03/10,9.090
79,2008/03/07,9.190
80,2008/03/06,9.260
81,2008/03/05,9.380
82,2008/03/04,9.330
83,2008/03/03,9.440
84,2008/02/29,9.480
85,2008/02/27,9.740
86,2008/02/26,9.760
87,2008/02/25,9.720
88,2008/02/22,9.620
89,2008/02/21,9.590
90,2008/02/20,9.630
91,2008/02/19,9.700
92,2008/02/18,9.680
93,2008/02/15,9.620
94,2008/02/14,9.670
95,2008/02/13,9.660
96,2008/02/12,9.670
97,2008/02/05,9.770
98,2008/02/04,10.09
99,2008/02/01,10.12
100,2008/01/31,9.950
101,2008/01/30,9.870
102,2008/01/29,9.940
103,2008/01/28,9.860
104,2008/01/25,9.820
105,2008/01/24,9.760
106,2008/01/23,9.550
107,2008/01/22,9.530
108,2008/01/21,9.530
109,2008/01/18,9.820
110,2008/01/17,9.900
111,2008/01/16,10.01
112,2008/01/15,10.13
113,2008/01/14,10.39
114,2008/01/11,10.35
115,2008/01/10,10.41
116,2008/01/09,10.41
117,2008/01/08,10.40
118,2008/01/07,10.42
119,2008/01/04,10.41
120,2008/01/03,10.52
121,2008/01/02,10.54
122,2007/12/31,10.64
123,2007/12/28,10.66
124,2007/12/27,10.62
125,2007/12/26,10.64
126,2007/12/25,10.61
127,2007/12/24,10.61
128,2007/12/21,10.55
129,2007/12/20,10.43
130,2007/12/19,10.43
131,2007/12/18,10.46
132,2007/12/17,10.40
133,2007/12/14,10.62
134,2007/12/13,10.72
135,2007/12/12,10.86
136,2007/12/11,10.86
137,2007/12/10,10.94
138,2007/12/07,10.90
139,2007/12/06,10.84
140,2007/12/05,10.80
141,2007/12/04,10.67
142,2007/12/03,10.77
143,2007/11/30,10.82
144,2007/11/29,10.70
145,2007/11/28,10.65
146,2007/11/27,10.50
147,2007/11/26,10.48
148,2007/11/23,10.54
149,2007/11/22,10.43
150,2007/11/21,10.37
151,2007/11/20,10.56
152,2007/11/19,10.46
153,2007/11/16,10.54
154,2007/11/15,10.55
155,2007/11/14,10.70
156,2007/11/13,10.63
157,2007/11/12,10.48
158,2007/11/09,10.60
159,2007/11/08,10.75
160,2007/11/07,10.83
161,2007/11/06,10.90
162,2007/11/05,10.83
163,2007/11/02,10.91
164,2007/11/01,11.00
165,2007/10/31,11.18
166,2007/10/30,11.07
167,2007/10/29,11.12
168,2007/10/26,11.05
169,2007/10/25,10.95
170,2007/10/24,10.88
171,2007/10/23,10.91
172,2007/10/22,10.82
173,2007/10/19,10.93
174,2007/10/18,11.06
175,2007/10/17,11.06
176,2007/10/16,10.99
177,2007/10/15,11.15
178,2007/10/12,11.22
179,2007/10/11,11.24
180,2007/10/09,11.17
181,2007/10/08,11.13
182,2007/10/05,11.17
183,2007/10/04,11.07
184,2007/10/03,11.06
185,2007/10/02,11.03
