,Date,Adj Close,Δ% next 10d,Current Status,Investing State
0,4/1/1997,12.14,-0.009060956,high,0
1,6/1/1997,12.13,-0.004122012,high,0
2,7/1/1997,12.12,0.00660066,low,0
3,8/1/1997,12.17,0.003286771,low,0
4,9/1/1997,12.2,-0.000819672,high,0
5,10/1/1997,12.08,0.006622517,low,0
6,11/1/1997,11.98,0.022537563,low,0
7,13/1/1997,11.97,0.021720969,low,0
8,14/1/1997,12.11,0.004954583,low,0
9,15/1/1997,12.1,0.00661157,low,0
10,16/1/1997,12.03,0.009975062,low,0
11,17/1/1997,12.08,0.015728477,low,0
12,18/1/1997,12.2,0.005737705,low,0
13,20/1/1997,12.21,0.013923014,low,0
14,21/1/1997,12.19,0.019688269,low,0
15,22/1/1997,12.16,0.023026316,low,0
16,23/1/1997,12.25,0.000816327,low,0
17,24/1/1997,12.23,-0.000817661,high,0
18,25/1/1997,12.17,0.008216927,low,0
19,27/1/1997,12.18,0.015599343,low,0
20,28/1/1997,12.15,0.018930041,low,0
21,29/1/1997,12.27,0.008964955,low,0
22,30/1/1997,12.27,0.018744906,low,0
23,31/1/1997,12.38,0.004846527,low,0
24,1/2/1997,12.43,0.004022526,low,0
25,3/2/1997,12.44,0.007234727,low,0
26,11/2/1997,12.26,0.024469821,low,0
27,12/2/1997,12.22,0.02700491,bit low,0
28,13/2/1997,12.27,-0.072534637,bit high,0
29,14/2/1997,12.37,-0.075181892,bit high,0
30,15/2/1997,12.38,-0.080775444,bit high,0
31,17/2/1997,12.38,-0.088045234,very high,0
32,18/2/1997,12.5,-0.0992,very high,0
33,19/2/1997,12.44,-0.094855305,very high,0
34,20/2/1997,12.48,-0.104166667,very high,0
35,21/2/1997,12.53,-0.110933759,very high,0
36,22/2/1997,12.56,-0.112261146,very high,0
37,24/2/1997,12.55,-0.117131474,very high,0
38,25/2/1997,11.38,-0.023725835,high,0
39,26/2/1997,11.44,-0.027972028,high,0
40,27/2/1997,11.38,-0.016695958,high,0
41,28/2/1997,11.29,-0.005314438,high,0
42,1/3/1997,11.26,-0.006216696,high,0
43,3/3/1997,11.26,-0.008880995,high,0
44,4/3/1997,11.18,-0.005366726,high,0
45,5/3/1997,11.14,-0.000897666,high,0
46,6/3/1997,11.15,-0.011659193,high,0
47,7/3/1997,11.08,-0.009927798,high,0
48,8/3/1997,11.11,-0.02070207,high,0
49,10/3/1997,11.12,-0.018884892,high,0
50,11/3/1997,11.19,-0.027703307,high,0
51,12/3/1997,11.23,-0.028495102,high,0
52,13/3/1997,11.19,-0.028596962,bit high,0
53,14/3/1997,11.16,-0.018817204,high,0
54,15/3/1997,11.12,-0.018884892,high,0
55,17/3/1997,11.13,-0.022461815,high,0
56,18/3/1997,11.02,-0.014519056,high,0
57,19/3/1997,10.97,-0.00911577,high,0
58,20/3/1997,10.88,-0.011029412,high,0
59,21/3/1997,10.91,-0.014665445,high,0
60,22/3/1997,10.88,-0.008272059,high,0
61,24/3/1997,10.91,-0.014665445,high,0
62,25/3/1997,10.87,-0.011959522,high,0
63,26/3/1997,10.95,-0.021004566,high,0
64,27/3/1997,10.91,-0.021998167,high,0
65,28/3/1997,10.88,-0.022977941,high,0
66,31/3/1997,10.86,-0.019337017,high,0
67,1/4/1997,10.87,-0.027598896,high,0
68,2/4/1997,10.76,-0.018587361,high,0
69,3/4/1997,10.75,-0.013023256,high,0
70,7/4/1997,10.79,-0.016682113,high,0
71,8/4/1997,10.75,-0.011162791,high,0
72,9/4/1997,10.74,-0.009310987,high,0
73,10/4/1997,10.72,0.001865672,low,0
74,11/4/1997,10.67,0.002811621,low,0
75,12/4/1997,10.63,0.010348071,low,0
76,14/4/1997,10.65,0.005633803,low,0
77,15/4/1997,10.57,0.013245033,low,0
78,16/4/1997,10.56,0.014204545,low,0
79,17/4/1997,10.61,0.004712535,low,0
80,18/4/1997,10.61,0.0,none,0
81,19/4/1997,10.63,0.004703669,low,0
82,21/4/1997,10.64,0.011278195,low,0
83,22/4/1997,10.74,0.003724395,low,0
84,23/4/1997,10.7,0.009345794,low,0
85,24/4/1997,10.74,0.012104283,low,0
86,25/4/1997,10.71,0.012138189,low,0
87,26/4/1997,10.71,0.009337068,low,0
88,28/4/1997,10.71,0.006535948,low,0
89,29/4/1997,10.66,0.015009381,low,0
90,30/4/1997,10.61,0.030160226,bit low,0
91,2/5/1997,10.68,0.021535581,low,0
92,3/5/1997,10.76,0.008364312,low,0
93,5/5/1997,10.78,0.00742115,low,0
94,6/5/1997,10.8,0.011111111,low,0
95,7/5/1997,10.87,0.005519779,low,0
96,8/5/1997,10.84,0.011070111,low,0
97,9/5/1997,10.81,0.034227567,bit low,0
98,10/5/1997,10.78,0.038961039,bit low,0
99,12/5/1997,10.82,0.040665434,bit low,0
100,13/5/1997,10.93,0.033851784,bit low,0
101,14/5/1997,10.91,0.035747021,bit low,0
102,15/5/1997,10.85,0.044239631,bit low,0
103,16/5/1997,10.86,0.044198895,bit low,0
104,17/5/1997,10.92,0.037545788,bit low,0
105,19/5/1997,10.93,0.03568161,bit low,0
106,20/5/1997,10.96,0.032846715,bit low,0
107,21/5/1997,11.18,0.012522361,low,0
108,22/5/1997,11.2,0.0125,low,0
109,23/5/1997,11.26,0.027531083,bit low,0
110,24/5/1997,11.3,0.008849558,low,0
111,26/5/1997,11.3,0.005309735,low,0
112,27/5/1997,11.33,0.005295675,low,0
113,28/5/1997,11.34,0.007054674,low,0
114,29/5/1997,11.33,0.005295675,low,0
115,30/5/1997,11.32,0.009717314,low,0
116,31/5/1997,11.32,0.004416961,low,0
117,2/6/1997,11.32,0.004416961,low,0
118,3/6/1997,11.34,0.002645503,low,0
119,4/6/1997,11.57,-0.014693172,high,0
120,5/6/1997,11.4,0.0,none,0
121,6/6/1997,11.36,0.008802817,low,0
122,7/6/1997,11.39,0.002633889,low,0
123,10/6/1997,11.42,-0.003502627,high,0
124,11/6/1997,11.39,-0.001755926,high,0
125,12/6/1997,11.43,-0.004374453,high,0
126,13/6/1997,11.37,0.002638522,low,0
127,14/6/1997,11.37,0.007915567,low,0
128,16/6/1997,11.37,0.016710642,low,0
129,17/6/1997,11.4,0.016666667,low,0
130,18/6/1997,11.4,0.016666667,low,0
131,19/6/1997,11.46,0.018324607,low,0
132,20/6/1997,11.42,0.021891419,low,0
133,21/6/1997,11.38,0.050087873,bit low,0
134,23/6/1997,11.37,0.063324538,very low,1
135,24/6/1997,11.38,0.063268893,very low,0
136,25/6/1997,11.4,0.049122807,bit low,0
137,26/6/1997,11.46,0.031413613,bit low,0
138,27/6/1997,11.56,0.032871972,bit low,0
139,28/6/1997,11.59,0.047454702,bit low,0
140,30/6/1997,11.59,0.033649698,bit low,0
141,2/7/1997,11.67,0.026563839,bit low,0
142,3/7/1997,11.67,0.014567266,low,0
143,4/7/1997,11.95,0.00083682,low,0
144,5/7/1997,12.09,0.011579818,low,0
145,7/7/1997,12.1,0.000826446,low,0
146,8/7/1997,11.96,-0.010033445,high,0
147,9/7/1997,11.82,0.000846024,low,0
148,10/7/1997,11.94,-0.010887772,high,0
149,11/7/1997,12.14,-0.031301483,bit high,0
150,12/7/1997,11.98,-0.051752922,bit high,0
151,14/7/1997,11.98,-0.050083472,bit high,0
152,15/7/1997,11.84,-0.027871622,high,0
153,16/7/1997,11.96,-0.035117057,bit high,0
154,17/7/1997,12.23,-0.014717907,high,0
155,18/7/1997,12.11,0.023121387,low,0
156,19/7/1997,11.84,0.046452703,bit low,0
157,21/7/1997,11.83,0.024513948,low,0
158,22/7/1997,11.81,0.013547841,low,0
159,23/7/1997,11.76,0.016156463,low,0
160,24/7/1997,11.36,0.059859155,very low,1
161,25/7/1997,11.38,0.044815466,bit low,0
162,26/7/1997,11.51,0.015638575,low,0
163,28/7/1997,11.54,0.011265165,low,0
164,29/7/1997,12.05,-0.018257261,high,0
165,30/7/1997,12.39,-0.042776433,bit high,0
166,31/7/1997,12.39,-0.049233253,bit high,0
167,1/8/1997,12.12,-0.028052805,high,0
168,2/8/1997,11.97,-0.021720969,high,0
169,4/8/1997,11.95,-0.026778243,high,0
170,5/8/1997,12.04,-0.040697674,bit high,0
171,6/8/1997,11.89,-0.052985702,bit high,0
172,7/8/1997,11.69,-0.068434559,bit high,0
173,8/8/1997,11.67,-0.072836332,bit high,0
174,9/8/1997,11.83,-0.088757396,very high,0
175,11/8/1997,11.86,-0.118043845,very high,0
176,12/8/1997,11.78,-0.112054329,very high,0
177,13/8/1997,11.78,-0.126485569,very high,0
178,14/8/1997,11.71,-0.114432109,very high,0
179,15/8/1997,11.63,-0.110920034,very high,0
180,16/8/1997,11.55,-0.12987013,very high,0
181,19/8/1997,11.26,-0.107460036,very high,0
182,20/8/1997,10.89,-0.080808081,bit high,0
183,21/8/1997,10.82,-0.068391867,bit high,0
184,22/8/1997,10.78,-0.06864564,bit high,0
185,23/8/1997,10.46,-0.050669216,bit high,0
186,25/8/1997,10.46,-0.034416826,bit high,0
187,26/8/1997,10.29,-0.018464529,high,0
188,27/8/1997,10.37,-0.006750241,high,0
189,28/8/1997,10.34,-0.00483559,high,0
190,30/8/1997,10.05,0.009950249,low,0
191,1/9/1997,10.05,0.009950249,low,0
192,2/9/1997,10.01,0.007992008,low,0
193,3/9/1997,10.08,0.000992063,low,0
194,4/9/1997,10.04,0.0,none,0
195,5/9/1997,9.93,0.010070493,low,0
196,6/9/1997,10.1,-0.005940594,high,0
197,8/9/1997,10.1,-0.002970297,high,0
198,9/9/1997,10.3,-0.021359223,high,0
199,10/9/1997,10.29,-0.014577259,high,0
200,11/9/1997,10.15,0.001970443,low,0
201,12/9/1997,10.15,0.002955665,low,0
202,13/9/1997,10.09,0.017839445,low,0
203,15/9/1997,10.09,0.016848365,low,0
204,17/9/1997,10.04,0.02689243,bit low,0
205,18/9/1997,10.03,0.023928215,low,0
206,19/9/1997,10.04,0.023904382,low,0
207,20/9/1997,10.07,0.028798411,bit low,0
208,22/9/1997,10.08,0.03968254,bit low,0
209,23/9/1997,10.14,0.034516765,bit low,0
210,24/9/1997,10.17,0.030481809,bit low,0
211,25/9/1997,10.18,0.033398821,bit low,0
212,26/9/1997,10.27,0.028237585,bit low,0
213,27/9/1997,10.26,0.024366472,low,0
214,30/9/1997,10.31,0.024248303,low,0
215,1/10/1997,10.27,0.021421616,low,0
216,2/10/1997,10.28,0.017509728,low,0
217,3/10/1997,10.36,0.031853282,bit low,0
218,4/10/1997,10.48,0.020992366,low,0
219,6/10/1997,10.49,0.04099142,bit low,0
220,7/10/1997,10.48,0.039122137,bit low,0
221,8/10/1997,10.52,0.024714829,bit low,0
222,9/10/1997,10.56,0.018939394,low,0
223,13/10/1997,10.51,0.006660324,low,0
224,14/10/1997,10.56,-0.006628788,high,0
225,15/10/1997,10.49,-0.042897998,bit high,0
226,16/10/1997,10.46,-0.023900574,high,0
227,17/10/1997,10.69,-0.026192703,high,0
228,18/10/1997,10.7,-0.019626168,high,0
229,20/10/1997,10.92,-0.035714286,bit high,0
230,21/10/1997,10.89,-0.035812672,bit high,0
231,22/10/1997,10.78,-0.013914657,high,0
232,23/10/1997,10.76,-0.011152416,high,0
233,24/10/1997,10.58,-0.010396975,high,0
234,27/10/1997,10.49,-0.003813155,high,0
235,28/10/1997,10.04,0.034860558,bit low,0
236,29/10/1997,10.21,0.001958864,low,0
237,30/10/1997,10.41,-0.005763689,high,0
238,3/11/1997,10.49,-0.004766444,high,0
239,4/11/1997,10.53,-0.004748338,high,0
240,5/11/1997,10.5,0.028571429,bit low,0
241,6/11/1997,10.63,0.043273754,bit low,0
242,7/11/1997,10.64,0.033834586,bit low,0
243,8/11/1997,10.47,0.054441261,bit low,0
244,10/11/1997,10.45,0.04784689,bit low,0
245,11/11/1997,10.39,0.060635226,very low,0
246,13/11/1997,10.23,0.063538612,very low,1
247,14/11/1997,10.35,0.038647343,bit low,0
248,15/11/1997,10.44,0.02394636,low,0
249,17/11/1997,10.48,0.030534351,bit low,0
250,18/11/1997,10.8,-0.005555556,high,0
251,19/11/1997,11.09,-0.029756537,bit high,0
252,20/11/1997,11.0,-0.01,high,0
253,21/11/1997,11.04,-0.013586957,high,0
254,22/11/1997,10.95,-0.021004566,high,0
255,24/11/1997,11.02,-0.029945554,bit high,0
256,25/11/1997,10.88,-0.008272059,high,0
257,26/11/1997,10.75,0.00744186,low,0
258,27/11/1997,10.69,0.018709074,low,0
259,28/11/1997,10.8,0.00462963,low,0
260,29/11/1997,10.74,0.00744879,low,0
261,1/12/1997,10.76,0.007434944,low,0
262,2/12/1997,10.89,-0.008264463,high,0
263,3/12/1997,10.89,-0.001836547,high,0
264,4/12/1997,10.72,0.009328358,low,0
265,5/12/1997,10.69,0.013096352,low,0
266,6/12/1997,10.79,0.001853568,low,0
267,8/12/1997,10.83,-0.002770083,high,0
268,9/12/1997,10.89,-0.018365473,high,0
269,10/12/1997,10.85,-0.008294931,high,0
270,11/12/1997,10.82,-0.026802218,high,0
271,12/12/1997,10.84,-0.034132841,bit high,0
272,13/12/1997,10.8,-0.019444444,high,0
273,15/12/1997,10.87,-0.029438822,bit high,0
274,16/12/1997,10.82,-0.024029575,high,0
275,17/12/1997,10.83,-0.016620499,high,0
276,18/12/1997,10.81,-0.002775208,high,0
277,19/12/1997,10.8,0.012962963,low,0
278,20/12/1997,10.69,0.036482694,bit low,0
279,22/12/1997,10.76,0.05204461,bit low,0
280,23/12/1997,10.53,0.080721747,very low,0
281,24/12/1997,10.47,0.077363897,very low,1
282,26/12/1997,10.59,0.051935788,bit low,0
283,27/12/1997,10.55,0.052132701,bit low,0
284,29/12/1997,10.56,0.036931818,bit low,0
285,30/12/1997,10.65,0.040375587,bit low,0
286,31/12/1997,10.78,0.042671614,bit low,0
287,3/1/1998,10.94,0.021023766,low,0
288,5/1/1998,11.08,0.022563177,low,0
289,6/1/1998,11.32,-0.005300353,high,0
290,7/1/1998,11.38,-0.002636204,high,0
291,8/1/1998,11.28,0.011524823,low,0
292,9/1/1998,11.14,0.035906643,bit low,0
293,12/1/1998,11.1,0.044144144,bit low,0
294,13/1/1998,10.95,0.058447489,bit low,0
295,14/1/1998,11.08,0.041516245,bit low,0
296,15/1/1998,11.24,0.038256228,bit low,0
297,16/1/1998,11.17,0.045658013,bit low,0
298,17/1/1998,11.33,0.032656664,bit low,0
299,19/1/1998,11.26,0.039964476,bit low,0
300,20/1/1998,11.35,0.020264317,low,0
301,21/1/1998,11.41,0.029798422,bit low,0
302,22/1/1998,11.54,0.011265165,low,0
303,23/1/1998,11.59,0.005176877,low,0
304,26/1/1998,11.59,0.021570319,low,0
305,2/2/1998,11.54,-0.044194107,bit high,0
306,3/2/1998,11.67,-0.050556984,bit high,0
307,4/2/1998,11.68,-0.055650685,bit high,0
308,5/2/1998,11.7,-0.051282051,bit high,0
309,6/2/1998,11.71,-0.0529462,bit high,0
310,7/2/1998,11.58,-0.037132988,bit high,0
311,9/2/1998,11.75,-0.047659574,bit high,0
312,10/2/1998,11.67,-0.040274207,bit high,0
313,11/2/1998,11.65,-0.046351931,bit high,0
314,12/2/1998,11.84,-0.067567568,bit high,0
315,13/2/1998,11.03,-0.001813237,high,0
316,16/2/1998,11.08,0.0,none,0
317,17/2/1998,11.03,0.003626473,low,0
318,18/2/1998,11.1,-0.002702703,high,0
319,19/2/1998,11.09,-0.00270514,high,0
320,20/2/1998,11.15,-0.006278027,high,0
321,21/2/1998,11.19,-0.029490617,bit high,0
322,23/2/1998,11.2,-0.022321429,high,0
323,24/2/1998,11.11,-0.01170117,high,0
324,25/2/1998,11.04,-0.010869565,high,0
325,26/2/1998,11.01,0.003633061,low,0
326,27/2/1998,11.08,-0.001805054,high,0
327,2/3/1998,11.07,0.002710027,low,0
328,3/3/1998,11.07,0.013550136,low,0
329,4/3/1998,11.06,0.023508137,low,0
330,5/3/1998,11.08,0.033393502,bit low,0
331,6/3/1998,10.86,0.055248619,bit low,0
332,7/3/1998,10.95,0.050228311,bit low,0
333,9/3/1998,10.98,0.043715847,bit low,0
334,10/3/1998,10.92,0.048534799,bit low,0
335,11/3/1998,11.05,0.03438914,bit low,0
336,12/3/1998,11.06,0.044303797,bit low,0
337,13/3/1998,11.1,0.036936937,bit low,0
338,16/3/1998,11.22,0.031194296,bit low,0
339,17/3/1998,11.32,0.030035336,bit low,0
340,18/3/1998,11.45,0.013100437,low,0
341,19/3/1998,11.46,0.014834206,low,0
342,20/3/1998,11.5,0.019130435,low,0
343,21/3/1998,11.46,0.034904014,bit low,0
344,23/3/1998,11.45,0.021834061,low,0
345,24/3/1998,11.43,0.022747157,low,0
346,25/3/1998,11.55,-0.001731602,high,0
347,26/3/1998,11.51,0.006950478,low,0
348,27/3/1998,11.57,0.006914434,low,0
349,30/3/1998,11.66,0.004288165,low,0
350,31/3/1998,11.6,0.00862069,low,0
351,1/4/1998,11.63,0.016337059,low,0
352,2/4/1998,11.72,0.020477816,low,0
353,3/4/1998,11.86,-0.004215852,high,0
354,4/4/1998,11.7,0.011965812,low,0
355,7/4/1998,11.69,0.01283148,low,0
356,8/4/1998,11.53,0.030355594,bit low,0
357,9/4/1998,11.59,0.026747196,bit low,0
358,10/4/1998,11.65,0.024892704,bit low,0
359,13/4/1998,11.71,0.012809564,low,0
360,14/4/1998,11.7,0.011965812,low,0
361,15/4/1998,11.82,-0.021150592,high,0
362,16/4/1998,11.96,-0.026755853,high,0
363,17/4/1998,11.81,-0.011007621,high,0
364,18/4/1998,11.84,-0.008445946,high,0
365,20/4/1998,11.84,-0.006756757,high,0
366,21/4/1998,11.88,-0.005050505,high,0
367,22/4/1998,11.9,-0.005042017,high,0
368,23/4/1998,11.94,-0.013400335,high,0
369,24/4/1998,11.86,-0.012647555,high,0
370,27/4/1998,11.84,-0.000844595,high,0
371,28/4/1998,11.57,0.024200519,low,0
372,29/4/1998,11.64,0.018900344,low,0
373,30/4/1998,11.68,0.009417808,low,0
374,2/5/1998,11.74,0.004258944,low,0
375,4/5/1998,11.76,-0.00085034,high,0
376,5/5/1998,11.82,0.001692047,low,0
377,6/5/1998,11.84,-0.005912162,high,0
378,7/5/1998,11.78,-0.005093379,high,0
379,8/5/1998,11.71,0.000853971,low,0
380,11/5/1998,11.83,-0.009298394,high,0
381,12/5/1998,11.85,-0.01350211,high,0
382,13/5/1998,11.86,-0.009274874,high,0
383,14/5/1998,11.79,-0.011026293,high,0
384,15/5/1998,11.79,-0.022900763,high,0
385,16/5/1998,11.75,-0.008510638,high,0
386,18/5/1998,11.84,-0.010135135,high,0
387,19/5/1998,11.77,-0.018691589,high,0
388,20/5/1998,11.72,-0.018771331,high,0
389,21/5/1998,11.72,-0.023037543,high,0
390,22/5/1998,11.72,-0.020477816,high,0
391,25/5/1998,11.69,-0.00855432,high,0
392,26/5/1998,11.75,-0.006808511,high,0
393,27/5/1998,11.66,0.000857633,low,0
394,28/5/1998,11.52,0.0234375,low,0
395,29/5/1998,11.65,-0.005150215,high,0
396,1/6/1998,11.72,-0.029863481,bit high,0
397,2/6/1998,11.55,-0.025974026,high,0
398,3/6/1998,11.5,-0.047826087,bit high,0
399,4/6/1998,11.45,-0.04279476,bit high,0
400,5/6/1998,11.48,-0.048780488,bit high,0
401,6/6/1998,11.59,-0.045729077,bit high,0
402,8/6/1998,11.67,-0.054841474,bit high,0
403,9/6/1998,11.67,-0.062553556,bit high,0
404,10/6/1998,11.79,-0.067005937,bit high,0
405,11/6/1998,11.59,-0.036238136,bit high,0
406,12/6/1998,11.37,-0.005277045,high,0
407,15/6/1998,11.25,0.005333333,low,0
408,16/6/1998,10.95,0.020091324,low,0
409,17/6/1998,10.96,0.011861314,low,0
410,18/6/1998,10.92,0.016483516,low,0
411,19/6/1998,11.06,0.012658228,low,0
412,20/6/1998,11.03,0.018132366,low,0
413,22/6/1998,10.94,0.02833638,bit low,0
414,23/6/1998,11.0,0.018181818,low,0
415,24/6/1998,11.17,0.007162041,low,0
416,25/6/1998,11.31,0.004420866,low,0
417,26/6/1998,11.31,0.000884173,low,0
418,29/6/1998,11.17,0.011638317,low,0
419,30/6/1998,11.09,0.016230839,low,0
420,2/7/1998,11.1,0.011711712,low,0
421,3/7/1998,11.2,0.017857143,low,0
422,4/7/1998,11.23,0.025823687,bit low,0
423,6/7/1998,11.25,0.020444444,low,0
424,7/7/1998,11.2,0.026785714,bit low,0
425,8/7/1998,11.25,0.020444444,low,0
426,9/7/1998,11.36,0.006161972,low,0
427,10/7/1998,11.32,-0.00795053,high,0
428,13/7/1998,11.3,-0.011504425,high,0
429,14/7/1998,11.27,-0.015084295,high,0
430,15/7/1998,11.23,-0.022261799,high,0
431,16/7/1998,11.4,-0.045614035,bit high,0
432,17/7/1998,11.52,-0.059895833,bit high,0
433,18/7/1998,11.48,-0.041811847,bit high,0
434,20/7/1998,11.5,-0.044347826,bit high,0
435,21/7/1998,11.48,-0.042682927,bit high,0
436,22/7/1998,11.43,-0.044619423,bit high,0
437,23/7/1998,11.23,-0.041852182,bit high,0
