,Day,Month,Year,Date,Price,10D Return,600roll_mean,600roll_std,State,Invest,In_time,In_Price
0,4,1,1997,1997-01-04,12.14,0.017603,0.017603,,,0,0,
1,6,1,1997,1997-01-06,12.13,0.011676,0.0146395,0.004191021892092668,mid,0,0,
2,7,1,1997,1997-01-07,12.12,0.013378,0.014219,0.0030516869105463623,mid,0,0,
3,8,1,1997,1997-01-08,12.17,0.01841,0.015266749999999999,0.0032557102015791685,mid,0,0,
4,9,1,1997,1997-01-09,12.2,0.020921,0.0163976,0.003787326933339661,high,0,0,
5,10,1,1997,1997-01-10,12.08,0.005828,0.014635999999999998,0.0054858439277835815,low,0,0,
6,11,1,1997,1997-01-11,11.98,-0.00167,0.012306571428571427,0.007941183703897525,low,0,0,
7,13,1,1997,1997-01-13,11.97,-0.00664,0.00993825,0.00994610756240134,low,0,0,
8,14,1,1997,1997-01-14,12.11,0.005814,0.009479999999999999,0.009404752056806175,mid,0,0,
9,15,1,1997,1997-01-15,12.1,0.0,0.008532,0.009359951626180791,mid,0,0,
10,16,1,1997,1997-01-16,12.03,-0.009060956,0.0069326403636363635,0.010343369311337648,low,0,0,
11,17,1,1997,1997-01-17,12.08,-0.004122012,0.006011419333333334,0.010365477876752913,mid,0,0,
12,18,1,1997,1997-01-18,12.2,0.00660066,0.006056745538461538,0.009925535016091582,mid,0,0,
13,20,1,1997,1997-01-20,12.21,0.003286771,0.005858890214285714,0.009564838046002663,mid,0,0,
14,21,1,1997,1997-01-21,12.19,-0.000819672,0.005413652733333333,0.009376830472860802,mid,0,0,
15,22,1,1997,1997-01-22,12.16,0.006622517,0.0054892067499999996,0.009063918631214151,mid,0,0,
16,23,1,1997,1997-01-23,12.25,0.022537563,0.006492051235294117,0.009701381715628635,high,0,0,
17,24,1,1997,1997-01-24,12.23,0.021720969,0.0073381022222222215,0.010072981947814178,high,0,0,
18,25,1,1997,1997-01-25,12.17,0.004954583,0.0072126538421052626,0.009804439373496218,mid,0,0,
19,27,1,1997,1997-01-27,12.18,0.00661157,0.0071825996500000005,0.009543887000285384,mid,0,0,
20,28,1,1997,1997-01-28,12.15,0.009975062,0.0073155740476190485,0.009322167994590671,mid,0,0,
21,29,1,1997,1997-01-29,12.27,0.015728477,0.007697978727272728,0.009272632864446632,mid,0,0,
22,30,1,1997,1997-01-30,12.27,0.005737705,0.0076127494347826095,0.009068656624375128,mid,0,0,
